respondent,period,demand,lag_1h,lag_24h,lag_168h,hour_of_day,day_of_week,is_weekend
CISO,2026-05-23 21:00:00,24029.0,23287.0,26038.0,23596.0,21.0,6.0,1
CISO,2026-05-23 22:00:00,23760.0,24029.0,26785.0,24416.0,22.0,6.0,1
CISO,2026-05-23 23:00:00,23813.0,23760.0,26661.0,23280.0,23.0,6.0,1
CISO,2026-05-24 00:00:00,23585.0,23813.0,27528.0,22722.0,0.0,0.0,1
CISO,2026-05-24 01:00:00,24686.0,23585.0,28606.0,23787.0,1.0,0.0,1
CISO,2026-05-24 02:00:00,25934.0,24686.0,29301.0,24368.0,2.0,0.0,1
CISO,2026-05-24 03:00:00,26545.0,25934.0,29298.0,24910.0,3.0,0.0,1
CISO,2026-05-24 04:00:00,26873.0,26545.0,29139.0,25595.0,4.0,0.0,1
CISO,2026-05-24 05:00:00,26634.0,26873.0,28586.0,25567.0,5.0,0.0,1
CISO,2026-05-24 06:00:00,25275.0,26634.0,27163.0,24432.0,6.0,0.0,1
CISO,2026-05-24 07:00:00,23960.0,25275.0,25648.0,23267.0,7.0,0.0,1
CISO,2026-05-24 08:00:00,23422.0,23960.0,24819.0,22538.0,8.0,0.0,1
CISO,2026-05-24 09:00:00,22196.0,23422.0,23634.0,21618.0,9.0,0.0,1
CISO,2026-05-24 10:00:00,21608.0,22196.0,22380.0,20708.0,10.0,0.0,1
CISO,2026-05-24 11:00:00,20857.0,21608.0,21763.0,20312.0,11.0,0.0,1
CISO,2026-05-24 12:00:00,20352.0,20857.0,21342.0,19991.0,12.0,0.0,1
CISO,2026-05-24 13:00:00,20586.0,20352.0,21421.0,20088.0,13.0,0.0,1
CISO,2026-05-24 14:00:00,20300.0,20586.0,21729.0,19959.0,14.0,0.0,1
CISO,2026-05-24 15:00:00,22160.0,20300.0,23593.0,21545.0,15.0,0.0,1
CISO,2026-05-24 16:00:00,24660.0,22160.0,24616.0,21943.0,16.0,0.0,1
CISO,2026-05-24 17:00:00,24716.0,24660.0,25015.0,21387.0,17.0,0.0,1
CISO,2026-05-24 18:00:00,24699.0,24716.0,24879.0,21827.0,18.0,0.0,1
CISO,2026-05-24 19:00:00,23984.0,24699.0,23477.0,20656.0,19.0,0.0,1
CISO,2026-05-24 20:00:00,23626.0,23984.0,23287.0,21509.0,20.0,0.0,1
CISO,2026-05-24 21:00:00,23032.0,23626.0,24029.0,20289.0,21.0,0.0,1
CISO,2026-05-24 22:00:00,21596.0,23032.0,23760.0,20199.0,22.0,0.0,1
CISO,2026-05-24 23:00:00,21134.0,21596.0,23813.0,19509.0,23.0,0.0,1
CISO,2026-05-25 00:00:00,21570.0,21134.0,23585.0,19609.0,0.0,1.0,0
CISO,2026-05-25 01:00:00,23422.0,21570.0,24686.0,21426.0,1.0,1.0,0
CISO,2026-05-25 02:00:00,24805.0,23422.0,25934.0,23044.0,2.0,1.0,0
CISO,2026-05-25 03:00:00,25567.0,24805.0,26545.0,24340.0,3.0,1.0,0
CISO,2026-05-25 04:00:00,25931.0,25567.0,26873.0,25064.0,4.0,1.0,0
CISO,2026-05-25 05:00:00,25707.0,25931.0,26634.0,24888.0,5.0,1.0,0
CISO,2026-05-25 06:00:00,24542.0,25707.0,25275.0,23782.0,6.0,1.0,0
CISO,2026-05-25 07:00:00,23334.0,24542.0,23960.0,22489.0,7.0,1.0,0
CISO,2026-05-25 08:00:00,22495.0,23334.0,23422.0,21878.0,8.0,1.0,0
CISO,2026-05-25 09:00:00,21454.0,22495.0,22196.0,21025.0,9.0,1.0,0
CISO,2026-05-25 10:00:00,20700.0,21454.0,21608.0,20457.0,10.0,1.0,0
CISO,2026-05-25 11:00:00,20391.0,20700.0,20857.0,20163.0,11.0,1.0,0
CISO,2026-05-25 12:00:00,20145.0,20391.0,20352.0,20457.0,12.0,1.0,0
CISO,2026-05-25 13:00:00,20176.0,20145.0,20586.0,21296.0,13.0,1.0,0
CISO,2026-05-25 14:00:00,20381.0,20176.0,20300.0,22403.0,14.0,1.0,0
CISO,2026-05-25 15:00:00,22291.0,20381.0,22160.0,24088.0,15.0,1.0,0
CISO,2026-05-25 16:00:00,24378.0,22291.0,24660.0,25123.0,16.0,1.0,0
CISO,2026-05-25 17:00:00,24972.0,24378.0,24716.0,25109.0,17.0,1.0,0
CISO,2026-05-25 18:00:00,24651.0,24972.0,24699.0,24342.0,18.0,1.0,0
CISO,2026-05-25 19:00:00,24330.0,24651.0,23984.0,23676.0,19.0,1.0,0
CISO,2026-05-25 20:00:00,24239.0,24330.0,23626.0,24268.0,20.0,1.0,0
CISO,2026-05-25 21:00:00,23965.0,24239.0,23032.0,24369.0,21.0,1.0,0
CISO,2026-05-25 22:00:00,22920.0,23965.0,21596.0,24570.0,22.0,1.0,0
CISO,2026-05-25 23:00:00,22781.0,22920.0,21134.0,24436.0,23.0,1.0,0
CISO,2026-05-26 00:00:00,22696.0,22781.0,21570.0,24821.0,0.0,2.0,0
CISO,2026-05-26 01:00:00,24419.0,22696.0,23422.0,25825.0,1.0,2.0,0
CISO,2026-05-26 02:00:00,25717.0,24419.0,24805.0,27273.0,2.0,2.0,0
CISO,2026-05-26 03:00:00,26164.0,25717.0,25567.0,28480.0,3.0,2.0,0
CISO,2026-05-26 04:00:00,26707.0,26164.0,25931.0,28599.0,4.0,2.0,0
CISO,2026-05-26 05:00:00,26319.0,26707.0,25707.0,27921.0,5.0,2.0,0
