respondent,period,demand,lag_1h,lag_24h,lag_168h,hour_of_day,day_of_week,is_weekend
ERCO,2026-05-29 14:00:00,55248.0,52441.0,51288.0,51373.0,14.0,5.0,0
ERCO,2026-05-29 15:00:00,58480.0,55248.0,53734.0,54145.0,15.0,5.0,0
ERCO,2026-05-29 16:00:00,62116.0,58480.0,56549.0,57102.0,16.0,5.0,0
ERCO,2026-05-29 17:00:00,65915.0,62116.0,59726.0,60086.0,17.0,5.0,0
ERCO,2026-05-29 18:00:00,69416.0,65915.0,63120.0,62775.0,18.0,5.0,0
ERCO,2026-05-29 19:00:00,72824.0,69416.0,66213.0,65797.0,19.0,5.0,0
ERCO,2026-05-29 20:00:00,75351.0,72824.0,68908.0,68375.0,20.0,5.0,0
ERCO,2026-05-29 21:00:00,76980.0,75351.0,71524.0,70351.0,21.0,5.0,0
ERCO,2026-05-29 22:00:00,77635.0,76980.0,73047.0,71912.0,22.0,5.0,0
ERCO,2026-05-29 23:00:00,77793.0,77635.0,73401.0,72151.0,23.0,5.0,0
ERCO,2026-05-30 00:00:00,76278.0,77793.0,71644.0,70846.0,0.0,6.0,1
ERCO,2026-05-30 01:00:00,73827.0,76278.0,69238.0,68396.0,1.0,6.0,1
ERCO,2026-05-30 02:00:00,70810.0,73827.0,66807.0,66054.0,2.0,6.0,1
ERCO,2026-05-30 03:00:00,68450.0,70810.0,65096.0,64031.0,3.0,6.0,1
ERCO,2026-05-30 04:00:00,65281.0,68450.0,61884.0,60952.0,4.0,6.0,1
ERCO,2026-05-30 05:00:00,61634.0,65281.0,58117.0,57485.0,5.0,6.0,1
ERCO,2026-05-30 06:00:00,58132.0,61634.0,54585.0,54327.0,6.0,6.0,1
ERCO,2026-05-30 07:00:00,55281.0,58132.0,51916.0,51692.0,7.0,6.0,1
ERCO,2026-05-30 08:00:00,53105.0,55281.0,50180.0,49652.0,8.0,6.0,1
ERCO,2026-05-30 09:00:00,51461.0,53105.0,49042.0,47982.0,9.0,6.0,1
ERCO,2026-05-30 10:00:00,50489.0,51461.0,48821.0,47041.0,10.0,6.0,1
ERCO,2026-05-30 11:00:00,50155.0,50489.0,49688.0,46556.0,11.0,6.0,1
ERCO,2026-05-30 12:00:00,49998.0,50155.0,50674.0,46141.0,12.0,6.0,1
ERCO,2026-05-30 13:00:00,51035.0,49998.0,52441.0,46329.0,13.0,6.0,1
ERCO,2026-05-30 14:00:00,53817.0,51035.0,55248.0,48495.0,14.0,6.0,1
ERCO,2026-05-30 15:00:00,57141.0,53817.0,58480.0,51230.0,15.0,6.0,1
ERCO,2026-05-30 16:00:00,60792.0,57141.0,62116.0,53704.0,16.0,6.0,1
ERCO,2026-05-30 17:00:00,64253.0,60792.0,65915.0,55829.0,17.0,6.0,1
ERCO,2026-05-30 18:00:00,67364.0,64253.0,69416.0,57478.0,18.0,6.0,1
ERCO,2026-05-30 19:00:00,70043.0,67364.0,72824.0,58248.0,19.0,6.0,1
ERCO,2026-05-30 20:00:00,72308.0,70043.0,75351.0,58660.0,20.0,6.0,1
ERCO,2026-05-30 21:00:00,74034.0,72308.0,76980.0,59065.0,21.0,6.0,1
ERCO,2026-05-30 22:00:00,74905.0,74034.0,77635.0,59825.0,22.0,6.0,1
ERCO,2026-05-30 23:00:00,74509.0,74905.0,77793.0,60512.0,23.0,6.0,1
ERCO,2026-05-31 00:00:00,73176.0,74509.0,76278.0,60282.0,0.0,0.0,1
ERCO,2026-05-31 01:00:00,70893.0,73176.0,73827.0,59042.0,1.0,0.0,1
ERCO,2026-05-31 02:00:00,68390.0,70893.0,70810.0,57854.0,2.0,0.0,1
ERCO,2026-05-31 03:00:00,66509.0,68390.0,68450.0,56837.0,3.0,0.0,1
ERCO,2026-05-31 04:00:00,63797.0,66509.0,65281.0,54386.0,4.0,0.0,1
ERCO,2026-05-31 05:00:00,60670.0,63797.0,61634.0,51783.0,5.0,0.0,1
ERCO,2026-05-31 06:00:00,57501.0,60670.0,58132.0,49318.0,6.0,0.0,1
