respondent,period,demand,lag_1h,lag_24h,lag_168h,hour_of_day,day_of_week,is_weekend
PJM,2026-05-25 04:00:00,78818.0,82380.0,78688.0,96034.0,4.0,1.0,0
PJM,2026-05-25 05:00:00,76329.0,78818.0,76630.0,91473.0,5.0,1.0,0
PJM,2026-05-25 06:00:00,74772.0,76329.0,75368.0,88074.0,6.0,1.0,0
PJM,2026-05-25 07:00:00,73451.0,74772.0,73853.0,84931.0,7.0,1.0,0
PJM,2026-05-25 08:00:00,72588.0,73451.0,72665.0,82904.0,8.0,1.0,0
PJM,2026-05-25 09:00:00,72775.0,72588.0,72355.0,83025.0,9.0,1.0,0
PJM,2026-05-25 10:00:00,73798.0,72775.0,72884.0,85731.0,10.0,1.0,0
PJM,2026-05-25 11:00:00,74599.0,73798.0,73572.0,90698.0,11.0,1.0,0
PJM,2026-05-25 12:00:00,75983.0,74599.0,75279.0,95785.0,12.0,1.0,0
PJM,2026-05-25 13:00:00,77886.0,75983.0,78111.0,99948.0,13.0,1.0,0
PJM,2026-05-25 14:00:00,80073.0,77886.0,79918.0,102601.0,14.0,1.0,0
PJM,2026-05-25 15:00:00,82728.0,80073.0,80901.0,107471.0,15.0,1.0,0
PJM,2026-05-25 16:00:00,85396.0,82728.0,81533.0,112946.0,16.0,1.0,0
PJM,2026-05-25 17:00:00,87126.0,85396.0,80888.0,117377.0,17.0,1.0,0
PJM,2026-05-25 18:00:00,87978.0,87126.0,81506.0,121810.0,18.0,1.0,0
PJM,2026-05-25 19:00:00,89057.0,87978.0,81707.0,126207.0,19.0,1.0,0
PJM,2026-05-25 20:00:00,90947.0,89057.0,82374.0,129457.0,20.0,1.0,0
PJM,2026-05-25 21:00:00,93643.0,90947.0,83789.0,132175.0,21.0,1.0,0
PJM,2026-05-25 22:00:00,96311.0,93643.0,85257.0,133432.0,22.0,1.0,0
PJM,2026-05-25 23:00:00,97591.0,96311.0,86108.0,132309.0,23.0,1.0,0
PJM,2026-05-26 00:00:00,97773.0,97591.0,86215.0,128920.0,0.0,2.0,0
PJM,2026-05-26 01:00:00,97341.0,97773.0,86390.0,124997.0,1.0,2.0,0
